#,Producto,Marca,Puffs,Cantidad,Precio Costo,Total Costo,Precio Venta,Total Venta,Ganancia Neta,Margen %
1,"Muha Meds 3.5gr - Venom OG (hybrid)","Muha Meds","3.5gr",0,485,0,0,0,0,
2,"Muha Meds 3.5gr - Mango Peach Ring (hybrid)","Muha Meds","3.5gr",0,485,0,0,0,0,
3,"Muha Meds 3.5gr - Rainbow Belts (hybrid)","Muha Meds","3.5gr",0,485,0,0,0,0,
4,"Lost Vape Orión Bar - Mixtos (pack 10 pzs)","Lost Vape","7.5k×10",10,60,600,125,1250,650,52.0%
5,"Bugatti 7k - Tropical Mango","Bugatti","7k",1,85,85,200,200,115,57.5%
6,"Bugatti 7k - Wiki Dragón Berry","Bugatti","7k",1,85,85,200,200,115,57.5%
7,"Waka Go 10k - Mango Lychee","Waka","10k",1,160,160,280,280,120,42.9%
8,"Waka Go 10k - Blueberry Mint","Waka","10k",1,160,160,280,280,120,42.9%
9,"Waka Go 10k - Me Peach","Waka","10k",1,160,160,280,280,120,42.9%
10,"Waka Go 10k - BlackBerry","Waka","10k",1,160,160,280,280,120,42.9%
11,"Waka Go 10k - Piña Colada","Waka","10k",2,160,320,280,560,240,42.9%
12,"Waka 15k - Cool Mint","Waka","15k",1,185,185,320,320,135,42.2%
13,"Waka 15k - Cherry Berry","Waka","15k",1,185,185,320,320,135,42.2%
14,"Waka 15k - Piña Colada","Waka","15k",2,185,370,320,640,270,42.2%
15,"Waka 30k - Blueberry Splash","Waka","30k",1,230,230,380,380,150,39.5%
16,"Waka 30k - Strawberry Kiwi","Waka","30k",1,230,230,380,380,150,39.5%
17,"Waka 30k - Cherry Watermelón Mint","Waka","30k",1,230,230,380,380,150,39.5%
18,"Waka Blade 33k - Coco Strawberry","Waka","33k",1,235,235,385,385,150,39.0%
19,"Waka Blade 33k - Passion Fruit","Waka","33k",1,235,235,385,385,150,39.0%
20,"Waka Burst 36k - Pink Lemonade","Waka","36k",1,235,235,385,385,150,39.0%
21,"Waka Burst 36k - Miami Mint","Waka","36k",1,235,235,385,385,150,39.0%
22,"Waka Burst 36k - Kiwi Strawberry","Waka","36k",1,235,235,385,385,150,39.0%
23,"Waka Burst 36k - Strawberry Banana","Waka","36k",1,235,235,385,385,150,39.0%
24,"Waka Icon 50k - Fresh Mint","Waka","50k",1,260,260,450,450,190,42.2%
25,"Waka Icon 50k - Cherry Watermelón","Waka","50k",1,260,260,450,450,190,42.2%
26,"Waka Icon 50k - Peach Mango Watermelón","Waka","50k",1,260,260,450,450,190,42.2%
