#,Producto,Marca,Puffs,Cantidad,Precio Costo,Total Costo,Precio Venta,Total Venta,Ganancia Neta,Margen %,ROI %
1,"Muha Meds 3.5gr — Venom OG (hybrid)","Muha Meds","3.5gr",0,485,0,0,0,0,,
2,"Muha Meds 3.5gr — Mango Peach Ring (hybrid)","Muha Meds","3.5gr",0,485,0,0,0,0,,
3,"Muha Meds 3.5gr — Rainbow Belts (hybrid)","Muha Meds","3.5gr",0,485,0,0,0,0,,
4,"Lost Vape Orión Bar — Mixtos (pack 10 pzs)","Lost Vape","7.5k×10",0,600,0,0,0,0,,
5,"Bugatti 7k — Tropical Mango","Bugatti","7k",1,85,85,200,200,115,57.5%,135.3%
6,"Bugatti 7k — Wiki Dragón Berry","Bugatti","7k",1,85,85,200,200,115,57.5%,135.3%
7,"Waka Go 10k — Mango Lychee","Waka","10k",1,160,160,280,280,120,42.9%,75.0%
8,"Waka Go 10k — Blueberry Mint","Waka","10k",1,160,160,280,280,120,42.9%,75.0%
9,"Waka Go 10k — Mr Peach","Waka","10k",1,160,160,280,280,120,42.9%,75.0%
10,"Waka Go 10k — BlackBerry","Waka","10k",1,160,160,280,280,120,42.9%,75.0%
11,"Waka Go 10k — Piña Colada","Waka","10k",0,160,0,280,0,0,,
12,"Waka Go 10k — Peach Blue Raspberry","Waka","10k",0,160,0,280,0,0,,
13,"Waka SoPro 15k — Cool Mint","Waka","15k",0,185,0,320,0,0,,
14,"Waka SoPro 15k — Cherry Berry","Waka","15k",0,185,0,320,0,0,,
15,"Waka SoPro 15k — Piña Colada","Waka","15k",0,185,0,320,0,0,,
16,"Waka SoPro 15k — Watermelon Kiwi","Waka","15k",0,185,0,320,0,0,,
17,"Waka Pro 30k — Blueberry Splash","Waka","30k",0,230,0,380,0,0,,
18,"Waka Pro 30k — Strawberry Kiwi","Waka","30k",0,230,0,380,0,0,,
19,"Waka soPro Titan 30k — Cherry Watermelón","Waka","30k",0,230,0,380,0,0,,
20,"Waka Blade 33k — Coco Strawberry","Waka","33k",0,235,0,380,0,0,,
21,"Waka Blade 33k — Passion Fruit","Waka","33k",0,235,0,380,0,0,,
22,"Waka Blade 33k — Blueberry Splash","Waka","33k",0,235,0,380,0,0,,
23,"Waka Burst 36k — Pink Lemonade","Waka","36k",0,235,0,380,0,0,,
24,"Waka Burst 36k — Miami Mint / Watermelon Ice","Waka","36k",0,235,0,380,0,0,,
25,"Waka Burst 36k — Kiwi Strawberry","Waka","36k",0,235,0,380,0,0,,
26,"Waka Burst 36k — Strawberry Banana","Waka","36k",0,235,0,380,0,0,,
27,"Waka Burst 36k — Cherry Bomb","Waka","36k",0,235,0,380,0,0,,
28,"Waka Burst 36k — Blueberry Watermelon","Waka","36k",0,235,0,380,0,0,,
29,"Waka Burst 36k — Strawberry Refresher","Waka","36k",0,235,0,380,0,0,,
30,"Waka Icon 50k — Fresh Mint","Waka","50k",0,260,0,450,0,0,,
31,"Waka Icon 50k — Cherry Watermelón","Waka","50k",0,260,0,450,0,0,,
32,"Waka Icon 50k — Peach Mango Watermelón","Waka","50k",0,260,0,450,0,0,,
33,"Waka Icon 50k — Kiwi Dragon Berry","Waka","50k",0,260,0,450,0,0,,
34,"Waka Icon 50k — Watermelon Ice","Waka","50k",0,260,0,450,0,0,,
35,"Lost Mary OS5000 — Berry Cherry","Lost Mary","5k",0,70,0,120,0,0,,
36,"Lost Vape Orion Bar 7500 — Strawberry Kiwi","Lost Vape","7.5k",0,70,0,120,0,0,,
37,"Lost Vape Orion Bar 7500 — Sour Apple Ice","Lost Vape","7.5k",0,70,0,120,0,0,,
38,"Lost Vape Orion Bar 7500 — Ice Cap","Lost Vape","7.5k",0,70,0,120,0,0,,
39,"Lost Vape Orion Bar 7500 — Peach Mango Watermelon","Lost Vape","7.5k",0,70,0,120,0,0,,
40,"Lost Vape Orion Bar 7500 — Summer Berry Ice (Ltd.)","Lost Vape","7.5k",0,70,0,120,0,0,,
